Count:  3104
Date:  2013-01-15 00:00:00 | Average Speed:  13.3 | Number of Taxis:  53
Date:  2013-01-16 00:00:00 | Average Speed:  13.96 | Number of Taxis:  61
Date:  2013-01-17 00:00:00 | Average Speed:  11.81 | Number of Taxis:  52
Date:  2013-01-18 00:00:00 | Average Speed:  13.78 | Number of Taxis:  88
Date:  2013-01-19 00:00:00 | Average Speed:  13.0 | Number of Taxis:  62
Date:  2013-01-20 00:00:00 | Average Speed:  13.01 | Number of Taxis:  66
Date:  2013-01-21 00:00:00 | Average Speed:  14.42 | Number of Taxis:  52
Date:  2013-01-22 00:00:00 | Average Speed:  14.75 | Number of Taxis:  62
Date:  2013-01-23 00:00:00 | Average Speed:  12.67 | Number of Taxis:  74
Date:  2013-01-24 00:00:00 | Average Speed:  12.03 | Number of Taxis:  87
Date:  2013-01-25 00:00:00 | Average Speed:  12.17 | Number of Taxis:  44
Date:  2013-01-26 00:00:00 | Average Speed:  13.33 | Number of Taxis:  46
Date:  2013-01-27 00:00:00 | Average Speed:  14.84 | Number of Taxis:  84
Date:  2013-01-28 00:00:00 | Average Speed:  14.51 | Number of Taxis:  58
Date:  2013-01-29 00:00:00 | Average Speed:  11.75 | Number of Taxis:  58
Date:  2013-01-30 00:00:00 | Average Speed:  12.23 | Number of Taxis:  68
Date:  2013-01-31 00:00:00 | Average Speed:  13.0 | Number of Taxis:  55
It took (6, 39) (minutes, seconds).
